,Acc,common positives,common acertos,common acc,uncommon positives,uncommon acertos,uncommon acc,rare positives,rare acertos,rare acc
0,0.8971794871794871,380.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
1,0.916923076923077,349.0,76.0,21.77650429799427,23.0,0.0,0.0,4.0,0.0,0.0
2,0.9184615384615384,361.0,107.0,29.6398891966759,28.0,0.0,0.0,3.0,0.0,0.0
3,0.9135897435897435,378.0,153.0,40.476190476190474,24.0,0.0,0.0,2.0,0.0,0.0
4,0.9179487179487179,359.0,180.0,50.139275766016716,30.0,0.0,0.0,2.0,0.0,0.0
5,0.9107692307692308,384.0,153.0,39.84375,20.0,0.0,0.0,0.0,0.0,0.0
6,0.9230769230769231,364.0,190.0,52.1978021978022,21.0,0.0,0.0,2.0,0.0,0.0
7,0.9384615384615385,369.0,251.0,68.02168021680217,22.0,1.0,4.545454545454546,2.0,0.0,0.0
8,0.9279487179487179,352.0,197.0,55.96590909090909,39.0,0.0,0.0,0.0,0.0,0.0
9,0.9392307692307692,396.0,268.0,67.67676767676768,31.0,0.0,0.0,3.0,0.0,0.0
10,0.9497435897435897,368.0,259.0,70.3804347826087,25.0,2.0,8.0,3.0,0.0,0.0
11,0.9566666666666667,409.0,345.0,84.3520782396088,26.0,4.0,15.384615384615385,0.0,0.0,0.0
12,0.9561538461538461,363.0,267.0,73.55371900826447,24.0,7.0,29.166666666666668,0.0,0.0,0.0
13,0.9648717948717949,356.0,286.0,80.33707865168539,24.0,6.0,25.0,2.0,0.0,0.0
14,0.9658974358974359,372.0,305.0,81.98924731182795,22.0,4.0,18.181818181818183,1.0,0.0,0.0
15,0.9743589743589743,368.0,317.0,86.1413043478261,17.0,4.0,23.529411764705884,2.0,0.0,0.0
16,0.9682051282051282,389.0,336.0,86.37532133676092,30.0,16.0,53.333333333333336,1.0,0.0,0.0
17,0.9830769230769231,371.0,337.0,90.8355795148248,18.0,11.0,61.111111111111114,1.0,0.0,0.0
18,0.978974358974359,371.0,328.0,88.40970350404312,18.0,10.0,55.55555555555556,0.0,0.0,0.0
19,0.9787179487179487,352.0,310.0,88.06818181818181,26.0,16.0,61.53846153846154,1.0,1.0,100.0
20,0.9830769230769231,378.0,340.0,89.94708994708995,28.0,22.0,78.57142857142857,2.0,0.0,0.0
21,0.9828205128205129,387.0,354.0,91.47286821705427,20.0,14.0,70.0,2.0,1.0,50.0
22,0.9884615384615385,379.0,355.0,93.66754617414249,19.0,16.0,84.21052631578948,1.0,1.0,100.0
23,0.9871794871794872,362.0,343.0,94.7513812154696,19.0,13.0,68.42105263157895,4.0,1.0,25.0
24,0.9853846153846154,380.0,350.0,92.10526315789474,30.0,25.0,83.33333333333333,3.0,2.0,66.66666666666667
25,0.9905128205128205,355.0,334.0,94.08450704225352,20.0,18.0,90.0,1.0,1.0,100.0
26,0.9930769230769231,355.0,345.0,97.1830985915493,22.0,19.0,86.36363636363636,0.0,0.0,0.0
27,0.9869230769230769,365.0,332.0,90.95890410958904,27.0,26.0,96.29629629629629,2.0,1.0,50.0
28,0.9853846153846154,376.0,349.0,92.81914893617021,23.0,16.0,69.56521739130434,0.0,0.0,0.0
29,0.9876923076923076,375.0,352.0,93.86666666666666,24.0,17.0,70.83333333333333,1.0,0.0,0.0
30,0.9907692307692307,361.0,340.0,94.18282548476455,19.0,15.0,78.94736842105263,2.0,2.0,100.0
31,0.9912820512820513,375.0,358.0,95.46666666666667,31.0,25.0,80.64516129032258,2.0,1.0,50.0
32,0.9915384615384616,382.0,367.0,96.07329842931937,32.0,28.0,87.5,3.0,2.0,66.66666666666667
33,0.9835897435897436,370.0,341.0,92.16216216216216,20.0,18.0,90.0,3.0,1.0,33.333333333333336
34,0.9889743589743589,362.0,340.0,93.92265193370166,22.0,16.0,72.72727272727273,2.0,1.0,50.0
35,0.9907692307692307,372.0,355.0,95.43010752688173,17.0,14.0,82.3529411764706,3.0,3.0,100.0
36,0.9930769230769231,355.0,342.0,96.33802816901408,19.0,17.0,89.47368421052632,1.0,1.0,100.0
37,0.9933333333333333,383.0,371.0,96.8668407310705,26.0,23.0,88.46153846153847,2.0,2.0,100.0
38,0.985897435897436,393.0,362.0,92.1119592875318,26.0,21.0,80.76923076923077,1.0,1.0,100.0
39,0.9943589743589744,367.0,353.0,96.18528610354224,27.0,24.0,88.88888888888889,0.0,0.0,0.0
40,0.9915384615384616,355.0,337.0,94.92957746478874,21.0,19.0,90.47619047619048,0.0,0.0,0.0
41,0.9915384615384616,360.0,345.0,95.83333333333333,20.0,20.0,100.0,1.0,1.0,100.0
42,0.9887179487179487,358.0,335.0,93.57541899441341,29.0,27.0,93.10344827586206,3.0,2.0,66.66666666666667
43,0.9902564102564102,369.0,350.0,94.8509485094851,25.0,23.0,92.0,2.0,2.0,100.0
44,0.9951282051282051,376.0,368.0,97.87234042553192,22.0,22.0,100.0,2.0,2.0,100.0
45,0.9887179487179487,391.0,376.0,96.16368286445012,25.0,21.0,84.0,2.0,0.0,0.0
46,0.9958974358974358,375.0,366.0,97.6,26.0,26.0,100.0,1.0,1.0,100.0
47,0.9958974358974358,372.0,367.0,98.65591397849462,24.0,23.0,95.83333333333333,3.0,3.0,100.0
48,0.9928205128205129,372.0,359.0,96.50537634408602,16.0,15.0,93.75,0.0,0.0,0.0
49,0.9953846153846154,375.0,364.0,97.06666666666666,27.0,27.0,100.0,1.0,1.0,100.0
50,0.9935042735042735,4425.0,4269.0,96.47457627118644,295.0,274.0,92.88135593220339,16.0,10.0,62.5
